/usr/sbin/mysqld, Version: 8.0.27 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2021-12-30T05:40:48.273926Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("8","8","81488")
2021-12-30T05:40:48.297350Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.298018Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("9","9","24144")
2021-12-30T05:40:48.301106Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.301688Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("10","10","89563")
2021-12-30T05:40:48.306715Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.307276Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("11","11","95511")
2021-12-30T05:40:48.310936Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.311486Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("12","12","96840")
2021-12-30T05:40:48.357077Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.357712Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("13","13","58840")
2021-12-30T05:40:48.360824Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.361405Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("14","14","19401")
2021-12-30T05:40:48.364703Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.365250Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("15","15","12916")
2021-12-30T05:40:48.392543Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.393116Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("16","16","34389")
2021-12-30T05:40:48.398968Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.399524Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("17","17","58300")
2021-12-30T05:40:48.402983Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.403593Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("18","18","84682")
2021-12-30T05:40:48.410343Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.410914Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("19","19","1748")
2021-12-30T05:40:48.433531Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.434115Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("20","20","34748")
2021-12-30T05:40:48.437234Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.437816Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("21","21","90546")
2021-12-30T05:40:48.441458Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.442004Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("22","22","14883")
2021-12-30T05:40:48.447970Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.448657Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("23","23","43682")
2021-12-30T05:40:48.451480Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.452082Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("24","24","36388")
2021-12-30T05:40:48.456246Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.456831Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("25","25","93301")
2021-12-30T05:40:48.459950Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.460512Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("26","26","18992")
2021-12-30T05:40:48.502152Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.502727Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("27","27","41444")
2021-12-30T05:40:48.517818Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.518358Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("28","28","64082")
2021-12-30T05:40:48.521945Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.522453Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("29","29","9948")
2021-12-30T05:40:48.526081Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.526629Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("30","30","9877")
2021-12-30T05:40:48.585072Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.585722Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("31","31","1020")
2021-12-30T05:40:48.588988Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.589524Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("32","32","76182")
2021-12-30T05:40:48.594194Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.594850Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("33","33","43520")
2021-12-30T05:40:48.606414Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.607007Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("34","34","86091")
2021-12-30T05:40:48.642897Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.643472Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("35","35","69992")
2021-12-30T05:40:48.647034Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.647597Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("36","36","98980")
2021-12-30T05:40:48.654191Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.654723Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("37","37","54305")
2021-12-30T05:40:48.657739Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.658243Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("38","38","34505")
2021-12-30T05:40:48.661063Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.661576Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("39","39","41186")
2021-12-30T05:40:48.665131Z	 8270 Query	SELECT @@session.transaction_read_only
2021-12-30T05:40:48.665688Z	 8270 Query	insert into table0 (pkId,pkAttr0,coAttr0_0) values ("40","40","79950")
